,scientificName,decimalLatitude,decimalLongitude
18,Psychodopygus wellcomei,-20.1389,-44.8839
4845,Lutzomyia (Tricholateralis) gomezi,8.326222,-74.59425
4846,Lutzomyia (Tricholateralis) gomezi,8.326222,-74.59425
4847,Lutzomyia (Tricholateralis) gomezi,4.986045,-72.603545
4848,Lutzomyia (Tricholateralis) gomezi,8.825083,-75.51825
4849,Lutzomyia (Tricholateralis) gomezi,13.294,-87.656
4850,Lutzomyia (Tricholateralis) gomezi,13.294,-87.656
4851,Lutzomyia (Tricholateralis) gomezi,13.294,-87.656
4852,Lutzomyia (Tricholateralis) gomezi,13.294,-87.656
4853,Lutzomyia (Tricholateralis) gomezi,13.294,-87.656
4854,Lutzomyia (Tricholateralis) gomezi,5.3808,-75.7908
4855,Lutzomyia (Tricholateralis) gomezi,4.7014,-75.7908
4856,Lutzomyia (Tricholateralis) gomezi,4.7014,-75.7908
4857,Lutzomyia (Tricholateralis) gomezi,5.38,-75.79
4858,Lutzomyia (Tricholateralis) gomezi,4.7,-75.79
4859,Lutzomyia (Tricholateralis) gomezi,4.7,-75.79
4860,Lutzomyia (Tricholateralis) gomezi,6.3717,-77.3695
4861,Lutzomyia (Tricholateralis) gomezi,6.3717,-77.3695
4862,Lutzomyia (Tricholateralis) gomezi,6.3717,-77.3695
4863,Lutzomyia (Tricholateralis) gomezi,6.37,-77.37
4864,Lutzomyia (Tricholateralis) gomezi,6.37,-77.37
4865,Lutzomyia (Tricholateralis) gomezi,6.37,-77.37
4866,Lutzomyia (Tricholateralis) gomezi,5.3333,-74.9333
4867,Lutzomyia (Tricholateralis) gomezi,5.3333,-74.9333
4868,Lutzomyia (Tricholateralis) gomezi,5.33,-74.93
4869,Lutzomyia (Tricholateralis) gomezi,5.33,-74.93
4870,Lutzomyia (Tricholateralis) gomezi,9.164,-79.863
4871,Lutzomyia (Tricholateralis) gomezi,9.161,-79.861
4872,Lutzomyia (Tricholateralis) gomezi,5.656721,-74.182491
4873,Lutzomyia (Tricholateralis) gomezi,5.656721,-74.182491
4874,Lutzomyia (Tricholateralis) gomezi,5.656721,-74.182491
4875,Lutzomyia (Tricholateralis) gomezi,5.656721,-74.182491
4876,Lutzomyia (Tricholateralis) gomezi,-14.74,-57.0539
4877,Lutzomyia (Tricholateralis) gomezi,-14.74,-57.0539
4878,Lutzomyia (Tricholateralis) gomezi,-14.74,-57.0539
4879,Lutzomyia (Tricholateralis) gomezi,-14.74,-57.0539
4880,Lutzomyia (Tricholateralis) gomezi,-14.74,-57.0539
4881,Lutzomyia (Tricholateralis) gomezi,-14.74,-57.0539
4882,Lutzomyia (Tricholateralis) gomezi,-14.74,-57.0539
4883,Lutzomyia (Tricholateralis) gomezi,-14.74,-57.0539
4884,Lutzomyia (Tricholateralis) gomezi,-14.74,-57.0539
4885,Lutzomyia (Tricholateralis) gomezi,-14.74,-57.0539
4886,Lutzomyia (Tricholateralis) gomezi,-14.74,-57.0539
4887,Lutzomyia (Tricholateralis) gomezi,-14.74,-57.0539
4888,Lutzomyia (Tricholateralis) gomezi,-14.74,-57.0539
4889,Lutzomyia (Tricholateralis) gomezi,-14.74,-57.0539
4890,Lutzomyia (Tricholateralis) gomezi,-14.74,-57.0539
4891,Lutzomyia (Tricholateralis) gomezi,-14.74,-57.0539
4892,Lutzomyia (Tricholateralis) gomezi,-14.74,-57.0539
4893,Lutzomyia (Tricholateralis) gomezi,-14.74,-57.0539
4894,Lutzomyia (Tricholateralis) gomezi,-14.74,-57.0539
4895,Lutzomyia (Tricholateralis) gomezi,-14.74,-57.0539
4896,Lutzomyia (Tricholateralis) gomezi,-14.74,-57.0539
4897,Lutzomyia (Tricholateralis) gomezi,-14.74,-57.0539
4898,Lutzomyia (Tricholateralis) gomezi,-14.74,-57.0539
4899,Lutzomyia (Tricholateralis) gomezi,-14.74,-57.0539
4900,Lutzomyia (Tricholateralis) gomezi,-14.74,-57.0539
4901,Lutzomyia (Tricholateralis) gomezi,-14.74,-57.0539
4902,Lutzomyia (Tricholateralis) gomezi,-14.74,-57.0539
4903,Lutzomyia (Tricholateralis) gomezi,-14.74,-57.0539
4904,Lutzomyia (Tricholateralis) gomezi,-14.74,-57.0539
4905,Lutzomyia (Tricholateralis) gomezi,-14.74,-57.0539
4906,Lutzomyia (Tricholateralis) gomezi,-14.74,-57.0539
4907,Lutzomyia (Tricholateralis) gomezi,-14.74,-57.0539
4908,Lutzomyia (Tricholateralis) gomezi,-14.74,-57.0539
4909,Lutzomyia (Tricholateralis) gomezi,-14.74,-57.0539
4910,Lutzomyia (Tricholateralis) gomezi,-14.74,-57.0539
4911,Lutzomyia (Tricholateralis) gomezi,-14.74,-57.0539
4912,Lutzomyia (Tricholateralis) gomezi,-14.74,-57.0539
4913,Lutzomyia (Tricholateralis) gomezi,-14.74,-57.0539
4914,Lutzomyia (Tricholateralis) gomezi,-14.74,-57.0539
4915,Lutzomyia (Tricholateralis) gomezi,-14.74,-57.0539
4916,Lutzomyia (Tricholateralis) gomezi,-14.74,-57.0539
4917,Lutzomyia (Tricholateralis) gomezi,-14.74,-57.0539
4918,Lutzomyia (Tricholateralis) gomezi,-14.74,-57.0539
4919,Lutzomyia (Tricholateralis) gomezi,-14.74,-57.0539
4920,Lutzomyia (Tricholateralis) gomezi,-14.74,-57.0539
4921,Lutzomyia (Tricholateralis) gomezi,-14.74,-57.0539
4922,Lutzomyia (Tricholateralis) gomezi,-14.74,-57.0539
4923,Lutzomyia (Tricholateralis) gomezi,-14.74,-57.0539
4924,Lutzomyia (Tricholateralis) gomezi,-14.74,-57.0539
4925,Lutzomyia (Tricholateralis) gomezi,-14.74,-57.0539
4926,Lutzomyia (Tricholateralis) gomezi,-14.74,-57.0539
4927,Lutzomyia (Tricholateralis) gomezi,-14.74,-57.0539
4928,Lutzomyia (Tricholateralis) gomezi,-14.74,-57.0539
4929,Lutzomyia (Tricholateralis) gomezi,-14.74,-57.0539
4930,Lutzomyia (Tricholateralis) gomezi,-14.74,-57.0539
4931,Lutzomyia (Tricholateralis) gomezi,-14.74,-57.0539
4932,Lutzomyia (Tricholateralis) gomezi,-14.74,-57.0539
4933,Lutzomyia (Tricholateralis) gomezi,-14.74,-57.0539
4934,Lutzomyia (Tricholateralis) gomezi,-14.74,-57.0539
4935,Lutzomyia (Tricholateralis) gomezi,-14.74,-57.0539
4936,Lutzomyia (Tricholateralis) gomezi,-14.74,-57.0539
4937,Lutzomyia (Tricholateralis) gomezi,-14.74,-57.0539
4938,Lutzomyia (Tricholateralis) gomezi,-14.74,-57.0539
4939,Lutzomyia (Tricholateralis) gomezi,-14.74,-57.0539
4940,Lutzomyia (Tricholateralis) gomezi,-14.74,-57.0539
4941,Lutzomyia (Tricholateralis) gomezi,-14.74,-57.0539
4942,Lutzomyia (Tricholateralis) gomezi,-14.74,-57.0539
4943,Lutzomyia (Tricholateralis) gomezi,-14.74,-57.0539
4944,Lutzomyia (Tricholateralis) gomezi,-14.74,-57.0539
4945,Lutzomyia (Tricholateralis) gomezi,-14.74,-57.0539
4946,Lutzomyia (Tricholateralis) gomezi,-14.74,-57.0539
4947,Lutzomyia (Tricholateralis) gomezi,-14.74,-57.0539
4948,Lutzomyia (Tricholateralis) gomezi,-14.74,-57.0539
4949,Lutzomyia (Tricholateralis) gomezi,-14.74,-57.0539
